Station Name,Waterway,Year,Phosphorous_Average,Phosphorous_Min,Phosphorous_Max,x,y,NO2_NO3_Average,NO2_NO3_Min,NO2_NO3_Max,Fecal_Coliform_Average,Fecal_Coliform_Min,Fecal_Coliform_Max,Chlorophyll-A_Average,Chlorophyll-A_Min,Chlorophyll-A_Max,NH3_Average,NH3_Min,NH3_Max,Chloride_Average,Chloride_Min,Chloride_Max,TKN_Average,TKN_Min,TKN_Max,Total_Dissolved_Solids_Average,Total_Dissolved_Solids_Min,Total_Dissolved_Solids_Max,SO4_Average,SO4_Min,SO4_Max,Suspended_Solids_Average,Suspended_Solids_Min,Suspended_Solids_Max,TOC_Average,TOC_Min,TOC_Max
Indiana Avenue,Little Calumet River,2023,0.16,&lt RL,0.5,-9753472.18145782,5108772.571885121,1.32,0.19,2.51,10.0,9.0,840.0,19.0,4,48.0,0.09,&lt RL,0.3,122.0,64,172.0,1,0,1,425.0,236.0,572.0,66.0,38,104.0,13,5,27,4,3,5
Lincoln Street,Weller Creek,2023,0.09,&lt RL,0.34,-9791310.180190712,5169842.130070917,0.71,0.39,1.1,2600.0,350.0,2000000.0,5.0,&lt RL,18.0,0.32,&lt RL,2.08,350.0,260,785.0,1,&lt RL,4,1161.0,822.0,1564.0,196.0,117,292.0,30,4,132,4,3,6
Lockport Powerhouse,Chicago Sanitary and Ship Canal,2023,0.9,0.38,2.3,-9804834.0167114,5096870.642820761,5.53,2.72,8.57,160.0,9.0,11000.0,5.0,1,15.0,0.42,0.03,1.93,145.0,93,612.0,1,0,3,584.0,362.0,1246.0,84.0,55,119.0,7,4,21,6,4,8
Loomis Street,South Branch Chicago River,2023,0.68,0.29,1.3,-9758326.630046986,5137947.951214144,4.93,1.85,8.94,55.0,9.0,6200.0,3.0,1,7.0,0.4,0.03,1.63,111.0,65,648.0,1,0,2,493.0,270.0,1238.0,41.0,31,59.0,8,5,13,5,4,5
Material Service Road,Des Plaines River,2023,0.39,0.25,0.74,-9803757.593335949,5100729.017568359,4.45,1.68,8.0,50.0,9.0,930.0,12.0,2,30.0,0.04,&lt RL,0.28,196.0,155,400.0,1,0,2,646.0,516.0,940.0,63.0,45,85.0,18,5,57,6,5,7
Ogden Avenue,Des Plaines River,2023,0.54,0.09,0.99,-9775033.160497827,5134155.08934849,5.34,1.88,9.79,530.0,40.0,2200.0,6.0,2,13.0,0.06,&lt RL,0.4,194.0,166,369.0,1,0,3,646.0,564.0,854.0,63.0,47,79.0,14,1,48,6,5,7
Route 83,Calumet-Sag Channel,2023,1.46,0.47,2.15,-9789029.93158179,5115601.921870255,4.41,2.29,8.65,100.0,10.0,4800.0,17.0,2,70.0,0.22,0.05,0.84,121.0,96,257.0,1,1,3,581.0,444.0,788.0,102.0,71,147.0,15,9,30,6,5,8
Springinsguth Rd.,West Branch Du Page River,2023,0.16,0.02,0.36,-9809372.143319122,5162219.006850576,0.61,0.16,1.24,1200.0,130.0,7600.0,18.0,1,80.0,0.57,0.07,1.87,295.0,193,482.0,2,1,4,790.0,530.0,1090.0,54.0,28,107.0,17,3,43,11,8,17
Stephen Street,Chicago Sanitary and Ship Canal,2023,0.84,0.5,1.25,-9796052.154215598,5113077.68374999,5.28,3.38,7.5,555.0,80.0,8400.0,7.0,1,19.0,0.24,0.07,0.51,140.0,81,449.0,1,1,2,577.0,396.0,968.0,81.0,49,110.0,10,6,18,5,4,7
Touhy Avenue,North Shore Channel,2023,1.76,0.45,4.32,-9763880.193364626,5162772.158302309,7.31,4.44,9.45,490.0,150.0,15000.0,1.0,0,5.0,1.1,0.11,4.61,110.0,87,259.0,2,1,6,478.0,370.0,694.0,46.0,36,58.0,4,3,6,6,4,7
Washington Avenue,Salt Creek,2023,1.02,0.32,1.85,-9778632.442307536,5135217.403079835,5.79,1.64,10.92,1100.0,280.0,2900.0,7.0,3,11.0,0.07,0.01,0.14,260.0,239,389.0,1,0,1,749.0,652.0,872.0,71.0,54,81.0,17,3,56,6,5,7
Wells Street,Chicago River,2023,0.33,&lt RL,0.74,-9755339.676982597,5144145.544547021,2.98,0.33,7.09,125.0,50.0,4500.0,2.0,1,3.0,0.18,&lt RL,0.53,54.0,16,505.0,1,&lt RL,1,375.0,154.0,1028.0,34.0,22,53.0,3,1,5,3,2,4
Wille Road,Higgins Creek,2023,0.31,0.12,1.34,-9789066.534741784,5163778.873133089,7.44,2.68,11.71,310.0,9.0,7900.0,4.0,1,15.0,0.22,&lt RL,0.56,186.0,142,272.0,1,1,2,642.0,528.0,782.0,75.0,53,89.0,5,1,32,6,4,9
Willow Springs Road,Des Plaines River,2023,0.43,0.2,0.78,-9782918.22214516,5121485.94585754,4.82,1.78,8.14,330.0,20.0,1600.0,9.0,3,24.0,0.07,&lt RL,0.36,191.0,170,369.0,1,0,2,637.0,562.0,852.0,64.0,48,82.0,19,5,53,6,5,7
Wilson Avenue,North Branch Chicago River,2023,1.19,0.29,2.94,-9762427.895694705,5155720.021993471,7.11,3.57,9.45,470.0,160.0,31000.0,3.0,1,8.0,0.6,0.11,3.06,123.0,95,306.0,2,1,4,503.0,378.0,736.0,46.0,39,57.0,8,4,19,5,5,6
139th Street,Midlothian Creek,2022,0.09,0.02,0.22,-9762565.693509998,5107888.2094410425,0.55,0.11,0.86,,,,,,,0.11,&lt RL,1.1,,,,0,&lt RL,2,419.0,256.0,658.0,,,,16,3,56,6,5,7
Albany Avenue,North Branch Chicago River,2022,0.22,0.08,0.41,-9764088.462110575,5156857.124687181,3.19,0.72,7.73,430.0,40.0,16000.0,8.0,&lt RL,16.0,0.07,&lt RL,0.26,207.0,75,537.0,1,&lt RL,1,650.0,208.0,1180.0,48.0,21,66.0,25,1,165,6,5,8
Archer Avenue,Bubbly Creek,2022,0.63,0.17,1.11,-9758696.948071493,5136817.240627698,4.51,1.7,7.87,50.0,9.0,210.0,19.0,2,54.0,0.31,0.08,0.72,136.0,78,449.0,1,1,2,519.0,284.0,906.0,43.0,33,56.0,8,3,16,5,4,6
Arlington Dr.,West Branch DuPage River,2022,2.09,0.49,3.48,-9811547.219382191,5157233.888994125,11.9,3.33,20.73,3100.0,120.0,89000.0,12.0,3,39.0,0.27,0.02,0.72,144.0,99,861.0,2,1,3,656.0,288.0,1654.0,56.0,22,76.0,41,15,84,7,6,10
Ashland Avenue,Little Calumet River,2022,1.12,0.33,2.87,-9758345.734333793,5108959.791525536,3.62,0.92,8.58,730.0,200.0,5500.0,16.0,4,60.0,0.21,&lt RL,0.61,164.0,66,379.0,1,0,1,874.0,326.0,1346.0,271.0,64,567.0,20,4,39,6,5,8
Belmont Avenue,Des Plaines River,2022,0.28,0.13,0.75,-9779371.53102385,5151588.097147647,4.77,1.83,7.76,700.0,200.0,94000.0,6.0,2,13.0,0.12,&lt RL,0.59,193.0,85,547.0,1,1,2,664.0,236.0,1130.0,60.0,23,88.0,21,2,92,6,5,7
Burnham Avenue,Grand Calumet River,2022,0.29,0.13,0.7,-9744810.951107476,5105915.20396417,7.1,4.4,9.58,315.0,60.0,130000.0,7.0,1,16.0,0.14,&lt RL,1.04,147.0,83,219.0,1,0,2,747.0,428.0,908.0,172.0,81,238.0,7,4,10,7,5,10
Chatham Road,Midlothian Creek,2022,0.1,&lt RL,0.24,-9759961.818484122,5107888.209656332,0.5,0.14,0.84,,,,,,,0.13,&lt RL,0.86,,,,1,&lt RL,2,427.0,290.0,834.0,,,,20,3,64,7,6,10
Cicero Avenue,Chicago Sanitary and Ship Canal,2022,0.76,0.42,1.2,-9767527.508297496,5134013.305608013,5.18,2.05,8.63,30.0,10.0,1100.0,9.0,1,26.0,0.33,0.11,0.97,122.0,69,428.0,1,0,2,511.0,286.0,926.0,43.0,31,59.0,8,5,16,5,3,7
Cicero Avenue,Calumet-Sag Channel,2022,1.92,0.71,3.32,-9766975.298081215,5109491.834437173,4.13,2.19,6.31,290.0,40.0,3900.0,20.0,9,40.0,0.27,&lt RL,0.55,139.0,79,450.0,1,1,2,654.0,406.0,1096.0,116.0,78,149.0,16,6,24,6,4,7
Dempster St.,North Shore Channel,2022,0.07,&lt RL,0.27,-9763803.49250606,5167131.2098396,0.49,0.25,1.32,10.0,9.0,3800.0,9.0,0,49.0,0.19,&lt RL,1.45,19.0,15,471.0,0,&lt RL,1,336.0,124.0,960.0,33.0,20,71.0,9,2,20,3,2,5
Devon Avenue,Salt Creek,2022,1.88,0.31,3.02,-9795587.075606022,5159923.790866642,10.11,1.16,20.33,2450.0,160.0,5400.0,10.0,2,18.0,0.12,&lt RL,0.29,209.0,131,541.0,1,&lt RL,2,677.0,490.0,1128.0,59.0,38,75.0,10,3,21,7,6,10
Diversey Parkway,North Branch Chicago River,2022,0.98,0.22,1.66,-9760793.273420712,5150867.342273781,6.82,2.97,9.17,635.0,80.0,4500.0,3.0,0,9.0,0.32,0.06,0.5,132.0,84,557.0,1,0,1,570.0,298.0,1034.0,46.0,28,61.0,9,2,28,5,4,6
Elmhurst Road,Higgins Creek,2022,0.06,&lt RL,0.11,-9789503.463971144,5164194.269628853,0.33,0.09,0.56,550.0,30.0,330000.0,8.0,2,15.0,0.12,&lt RL,0.25,264.0,137,1527.0,1,0,1,1091.0,390.0,2654.0,44.0,21,76.0,21,9,40,6,4,7
Halsted Street,Little Calumet River,2022,1.63,0.8,3.12,-9756147.689317685,5109826.122291395,5.83,2.61,8.5,110.0,40.0,7600.0,17.0,1,42.0,0.18,&lt RL,0.57,142.0,83,362.0,1,&lt RL,2,587.0,340.0,948.0,76.0,49,96.0,8,4,12,6,4,7
Harlem Avenue,Chicago Sanitary and Ship Canal,2022,0.6,0.25,1.4,-9774026.337077957,5131234.839862472,6.38,2.79,8.4,6400.0,1600.0,41000.0,4.0,1,15.0,0.78,0.12,4.01,147.0,100,444.0,2,1,6,593.0,372.0,954.0,63.0,43,85.0,4,2,7,6,4,7
Higgins Road,Salt Creek,2022,0.08,0.02,0.17,-9797375.60963822,5165675.359292448,0.33,0.07,0.73,175.0,20.0,19000.0,15.0,5,36.0,0.13,&lt RL,0.3,228.0,139,749.0,1,0,1,730.0,374.0,1478.0,55.0,28,73.0,23,8,81,7,6,8
Indiana Avenue,Little Calumet River,2022,0.09,0.02,0.24,-9753472.18145782,5108772.571885121,2.04,0.86,2.84,30.0,10.0,110.0,43.0,1,149.0,-0.01,&lt RL,0.13,91.0,56,202.0,1,&lt RL,1,460.0,260.0,694.0,81.0,58,111.0,15,7,25,4,2,7
Lincoln Street,Weller Creek,2022,0.13,0.03,0.21,-9791310.180190712,5169842.130070917,0.75,0.35,1.23,2450.0,310.0,320000.0,4.0,1,9.0,0.18,&lt RL,0.68,312.0,112,2543.0,1,0,2,1355.0,302.0,3876.0,161.0,36,235.0,32,5,122,5,2,12
Lockport Powerhouse,Chicago Sanitary and Ship Canal,2022,0.96,0.19,2.19,-9804834.0167114,5096870.642820761,5.37,3.17,8.72,99.0,9.0,4200.0,5.0,0,18.0,0.42,&lt RL,1.63,149.0,101,539.0,1,0,4,634.0,386.0,1094.0,85.0,57,123.0,12,1,218,5,4,7
Loomis Street,South Branch Chicago River,2022,0.8,0.44,1.61,-9758326.630046986,5137947.951214144,4.84,2.75,8.07,40.0,10.0,350.0,4.0,1,14.0,0.37,0.1,0.77,124.0,64,529.0,1,&lt RL,1,489.0,280.0,1104.0,41.0,31,54.0,6,2,9,5,3,7
Material Service Road,Des Plaines River,2022,0.37,0.23,0.68,-9803757.593335949,5100729.017568359,4.33,1.84,7.18,60.0,10.0,1400.0,10.0,2,20.0,0.06,&lt RL,0.3,203.0,143,687.0,1,0,2,668.0,464.0,1016.0,67.0,39,95.0,15,2,67,6,5,7
Ogden Avenue,Des Plaines River,2022,0.53,0.19,0.81,-9775033.160497827,5134155.08934849,5.08,1.92,8.35,700.0,210.0,60000.0,6.0,2,12.0,0.11,&lt RL,0.29,181.0,134,640.0,1,0,1,714.0,392.0,1288.0,62.0,47,87.0,26,3,142,6,5,7
Route 83,Calumet-Sag Channel,2022,1.79,0.77,4.0,-9789029.93158179,5115601.921870255,3.48,0.15,8.19,140.0,9.0,590.0,14.0,2,41.0,0.17,&lt RL,0.33,138.0,99,366.0,1,0,1,629.0,458.0,902.0,110.0,95,178.0,16,6,23,5,4,7
Springinsguth Rd.,West Branch Du Page River,2022,0.19,0.03,0.46,-9809372.143319122,5162219.006850576,0.76,0.17,1.03,2105.0,230.0,69000.0,7.0,1,16.0,0.36,0.01,0.8,203.0,86,1484.0,2,1,3,816.0,278.0,2694.0,43.0,25,69.0,29,13,68,12,8,18
Stephen Street,Chicago Sanitary and Ship Canal,2022,0.87,0.41,1.73,-9796052.154215598,5113077.68374999,5.08,3.44,7.38,740.0,10.0,12000.0,8.0,2,25.0,0.53,0.06,1.88,153.0,93,422.0,1,1,3,620.0,386.0,970.0,82.0,53,117.0,11,5,24,6,4,7
Touhy Avenue,North Shore Channel,2022,1.5,0.25,2.78,-9763880.193364626,5162772.158302309,7.66,5.05,10.32,345.0,110.0,8300.0,2.0,&lt RL,8.0,0.68,0.03,2.05,117.0,93,340.0,1,0,3,518.0,362.0,754.0,46.0,39,59.0,5,2,11,5,4,8
Washington Avenue,Salt Creek,2022,1.24,0.31,2.16,-9778632.442307536,5135217.403079835,7.01,1.79,12.42,2900.0,210.0,41000.0,7.0,2,16.0,0.09,&lt RL,0.22,169.0,141,700.0,1,1,2,738.0,430.0,1360.0,69.0,52,101.0,30,3,158,6,5,8
Wells Street,Chicago River,2022,0.37,0.01,0.94,-9755339.676982597,5144145.544547021,2.88,0.53,6.55,660.0,20.0,6800.0,2.0,1,5.0,0.32,0.05,1.38,72.0,23,354.0,1,0,1,363.0,158.0,756.0,33.0,25,44.0,3,1,5,3,2,5
Wille Road,Higgins Creek,2022,0.25,0.12,0.48,-9789066.534741784,5163778.873133089,5.5,2.3,8.77,395.0,60.0,77000.0,3.0,1,11.0,0.43,0.02,1.23,221.0,127,605.0,1,0,3,720.0,492.0,1224.0,70.0,49,91.0,4,1,8,6,5,9
Willow Springs Road,Des Plaines River,2022,0.45,0.19,0.87,-9782918.22214516,5121485.94585754,4.78,1.89,7.73,310.0,40.0,10000.0,7.0,1,16.0,0.11,&lt RL,0.28,195.0,147,660.0,1,0,1,743.0,512.0,1362.0,70.0,46,100.0,16,5,41,6,5,7
Wilson Avenue,North Branch Chicago River,2022,0.98,0.22,1.73,-9762427.895694705,5155720.021993471,6.96,3.04,9.45,500.0,60.0,7700.0,3.0,&lt RL,6.0,0.33,0.04,0.93,136.0,86,476.0,1,0,2,567.0,288.0,976.0,46.0,29,61.0,8,3,28,5,4,8
130th Street,Calumet River,2021,0.02,&lt RL,0.07,-9748530.69045206,5110104.230203494,0.26,0.17,0.47,,,,6.0,2,19.0,0.05,&lt RL,0.24,,,,0,0,1,,,,,,,2,1,3,3,2,3
Albany Avenue,North Branch Chicago River,2021,0.34,0.22,0.59,-9764088.462110575,5156857.124687181,4.25,1.06,9.39,580.0,140.0,2400.0,7.0,1,19.0,0.1,0.03,0.24,224.0,148,429.0,1,1,1,733.0,494.0,1006.0,52.0,37,70.0,15,3,62,6,6,8
Archer Avenue,Bubbly Creek,2021,0.61,0.33,1.23,-9758696.948071493,5136817.240627698,3.36,1.86,6.72,55.0,9.0,2100.0,30.0,4,63.0,0.4,0.1,1.15,119.0,63,419.0,1,1,2,504.0,328.0,900.0,42.0,30,59.0,12,5,18,5,4,6
Arlington Dr.,West Branch DuPage River,2021,2.47,0.16,3.75,-9811547.219382191,5157233.888994125,12.27,1.09,17.71,1400.0,30.0,11000.0,11.0,4,35.0,0.3,0.16,0.62,185.0,128,672.0,2,1,3,787.0,464.0,1494.0,63.0,43,77.0,39,14,73,8,7,10
Ashland Avenue,Little Calumet River,2021,1.13,0.34,6.24,-9758345.734333793,5108959.791525536,3.37,0.83,7.61,830.0,40.0,17000.0,14.0,0,51.0,0.16,0,0.26,171.0,39,308.0,1,1,2,860.0,200.0,1422.0,251.0,27,587.0,38,6,233,7,5,10
Belmont Avenue,Des Plaines River,2021,0.34,0.08,0.61,-9779371.53102385,5151588.097147647,5.28,1.13,9.46,560.0,80.0,4100.0,11.0,2,34.0,0.14,0.09,0.26,253.0,161,638.0,1,1,1,858.0,500.0,1410.0,68.0,53,89.0,13,5,28,6,5,7
Brookfield Avenue,Salt Creek,2021,1.34,0.39,2.17,-9778479.118246686,5134478.740255858,6.67,1.04,9.32,2500.0,440.0,5600.0,7.0,2,11.0,0.23,0.13,0.47,656.0,407,842.0,1,1,2,1361.0,1030.0,1610.0,80.0,65,94.0,19,7,54,11,6,18
Burnham Avenue,Grand Calumet River,2021,0.44,0.22,0.7,-9744810.951107476,5105915.20396417,3.97,0,6.74,475.0,10.0,260000.0,16.0,1,68.0,0.31,0.02,1.11,109.0,69,149.0,1,1,3,567.0,402.0,884.0,119.0,57,186.0,11,5,32,6,4,11
Cicero Avenue,Calumet-Sag Channel,2021,1.65,0.37,3.32,-9766975.298081215,5109491.834437173,3.67,1.73,5.77,99.0,9.0,6100.0,9.0,1,26.0,0.36,0.06,0.69,136.0,63,351.0,1,1,2,595.0,330.0,920.0,100.0,33,136.0,21,4,68,6,4,8
Cicero Avenue,Chicago Sanitary and Ship Canal,2021,0.71,0.42,1.2,-9767527.508297496,5134013.305608013,3.89,2.13,7.3,55.0,9.0,170.0,6.0,1,11.0,0.3,0.12,0.48,99.0,75,358.0,1,1,1,481.0,340.0,814.0,41.0,29,57.0,7,3,15,4,3,5
Dempster St.,North Shore Channel,2021,0.06,&lt RL,0.18,-9763803.49250606,5167131.2098396,0.37,0.13,1.16,25.0,9.0,300.0,10.0,1,36.0,0.09,0.02,0.21,18.0,15,198.0,0,0,1,256.0,174.0,540.0,27.0,23,35.0,7,4,13,3,2,5
Devon Avenue,Salt Creek,2021,2.21,0.24,4.48,-9795587.075606022,5159923.790866642,9.7,0.64,17.75,1380.0,70.0,8900.0,10.0,2,36.0,0.15,0.02,0.51,203.0,144,1121.0,1,1,1,833.0,470.0,2090.0,65.0,43,78.0,12,3,56,7,6,9
Diversey Parkway,North Branch Chicago River,2021,0.99,0.49,1.71,-9760793.273420712,5150867.342273781,6.31,4.11,9.2,330.0,80.0,5000.0,2.0,1,5.0,0.31,0.14,0.58,137.0,105,731.0,1,1,1,627.0,422.0,1424.0,47.0,34,65.0,7,3,12,6,4,7
Elmhurst Road,Higgins Creek,2021,0.13,&lt RL,0.25,-9789503.463971144,5164194.269628853,1.03,0.05,7.14,300.0,10.0,2500.0,19.0,2,68.0,0.18,0.07,0.32,334.0,170,2793.0,1,&lt RL,1,1383.0,434.0,4580.0,54.0,20,90.0,35,3,79,7,4,14
Halsted Street,Little Calumet River,2021,1.42,0.84,1.93,-9756147.689317685,5109826.122291395,5.4,3.51,6.91,120.0,10.0,9200.0,9.0,0,24.0,0.28,0.03,0.75,133.0,83,293.0,1,1,2,548.0,396.0,784.0,76.0,51,94.0,7,4,14,5,4,6
Harlem Avenue,Chicago Sanitary and Ship Canal,2021,0.66,0.23,1.3,-9774026.337077957,5131234.839862472,5.84,3.29,8.31,3250.0,480.0,6300.0,5.0,1,10.0,0.4,0.16,1.53,128.0,93,332.0,1,1,2,584.0,408.0,892.0,65.0,43,97.0,5,3,9,6,4,7
Higgins Road,Salt Creek,2021,0.08,&lt RL,0.19,-9797375.60963822,5165675.359292448,0.29,0.04,0.74,110.0,9.0,1800.0,16.0,3,35.0,0.14,0.05,0.28,347.0,149,730.0,1,1,1,1014.0,422.0,1560.0,68.0,32,95.0,20,9,32,8,6,10
Indiana Avenue,Little Calumet River,2021,0.14,0.02,0.21,-9753472.18145782,5108772.571885121,1.81,0.56,3.24,15.0,9.0,480.0,14.0,2,49.0,0.14,0.01,0.39,97.0,51,129.0,1,0,1,407.0,292.0,644.0,72.0,51,107.0,12,5,26,4,3,5
Lincoln Street,Weller Creek,2021,0.28,0.01,0.69,-9791310.180190712,5169842.130070917,0.87,0.6,1.21,10000.0,3200.0,12000.0,17.0,2,43.0,0.17,0.12,0.26,239.0,186,260.0,1,1,2,787.0,650.0,888.0,120.0,85,142.0,89,20,216,9,5,15
Lockport Powerhouse,Chicago Sanitary and Ship Canal,2021,1.0,0.38,1.9,-9804834.0167114,5096870.642820761,5.19,1.99,10.22,85.0,9.0,220000.0,5.0,0,30.0,0.47,0.13,2.1,146.0,99,871.0,1,1,3,688.0,370.0,1962.0,89.0,36,127.0,8,&lt RL,40,6,4,7
Loomis Street,South Branch Chicago River,2021,0.8,0.32,1.32,-9758326.630046986,5137947.951214144,4.05,1.45,7.89,55.0,9.0,5000.0,4.0,1,8.0,0.48,0.1,1.36,99.0,52,341.0,1,1,2,481.0,252.0,790.0,42.0,26,57.0,7,3,17,4,3,6
Material Service Road,Des Plaines River,2021,0.47,0.08,0.7,-9803757.593335949,5100729.017568359,4.1,1.28,8.79,55.0,9.0,1000.0,22.0,1,103.0,0.12,0.02,0.32,263.0,147,842.0,1,1,2,933.0,446.0,1642.0,71.0,49,102.0,19,5,54,6,5,7
Ogden Avenue,Des Plaines River,2021,0.69,0.11,1.36,-9775033.160497827,5134155.08934849,5.43,1.1,10.77,1200.0,40.0,520000.0,15.0,3,61.0,0.11,0.05,0.3,256.0,167,764.0,1,1,1,863.0,502.0,1494.0,68.0,53,80.0,20,4,51,6,6,8
Route 83,Chicago Sanitary and Ship Canal,2021,0.83,0.47,1.57,-9789421.360370245,5116449.74955103,5.74,2.29,9.12,,,,11.0,3,27.0,0.65,0.14,1.92,,,,1,1,2,,,,,,,5,2,10,5,3,6
Route 83,Calumet-Sag Channel,2021,1.52,0.66,2.71,-9789029.93158179,5115601.921870255,3.54,1.65,5.19,30.0,9.0,2500.0,7.0,1,15.0,0.24,0.11,0.38,136.0,66,341.0,1,1,1,639.0,294.0,916.0,109.0,30,145.0,22,3,73,5,4,7
Springinsguth Rd.,West Branch Du Page River,2021,0.23,&lt RL,0.56,-9809372.143319122,5162219.006850576,0.7,0.28,1.57,1200.0,330.0,5300.0,12.0,2,37.0,0.59,0.19,2.18,404.0,167,904.0,2,1,3,1102.0,464.0,1804.0,52.0,23,102.0,17,5,63,14,7,19
Stephen Street,Chicago Sanitary and Ship Canal,2021,0.98,0.64,1.37,-9796052.154215598,5113077.68374999,4.62,1.91,6.76,200.0,50.0,1200.0,11.0,2,30.0,0.37,0.19,0.66,133.0,105,356.0,1,1,2,638.0,420.0,916.0,85.0,57,107.0,10,6,17,6,5,8
Touhy Avenue,North Shore Channel,2021,1.4,0.78,2.3,-9763880.193364626,5162772.158302309,7.88,3.92,17.05,365.0,50.0,10000.0,1.0,0,2.0,0.61,0.14,1.5,113.0,76,445.0,1,1,2,522.0,322.0,906.0,45.0,32,60.0,5,2,8,5,4,6
Washington Avenue,Salt Creek,2021,1.77,0.25,2.67,-9778632.442307536,5135217.403079835,8.63,2.36,12.86,3200.0,1800.0,21000.0,5.0,2,7.0,0.12,0.1,0.13,156.0,144,164.0,1,1,1,543.0,464.0,618.0,68.0,50,80.0,12,3,19,6,5,7
Wells Street,Chicago River,2021,0.28,&lt RL,0.57,-9755339.676982597,5144145.544547021,1.62,0.28,3.46,485.0,210.0,5200.0,2.0,1,6.0,0.21,0.03,0.37,59.0,16,345.0,1,0,1,334.0,172.0,742.0,32.0,24,48.0,3,1,5,3,2,5
Wille Road,Higgins Creek,2021,0.47,&lt RL,0.91,-9789066.534741784,5163778.873133089,5.59,0.23,8.82,140.0,10.0,37000.0,5.0,&lt RL,30.0,0.26,0.07,0.69,239.0,124,789.0,1,1,2,907.0,502.0,1650.0,71.0,52,91.0,9,1,59,7,5,14
Willow Springs Road,Des Plaines River,2021,0.58,0.07,0.92,-9782918.22214516,5121485.94585754,4.98,1.18,9.03,135.0,20.0,3900.0,17.0,2,90.0,0.11,0.04,0.34,264.0,164,832.0,1,0,2,923.0,496.0,1642.0,74.0,56,96.0,18,7,44,6,5,7
Wilson Avenue,North Branch Chicago River,2021,1.03,0.67,1.42,-9762427.895694705,5155720.021993471,6.66,3.23,9.94,320.0,130.0,4800.0,3.0,1,6.0,0.34,0.12,0.84,137.0,107,649.0,1,0,2,599.0,412.0,1192.0,47.0,33,62.0,8,4,17,5,5,7
130th Street,Calumet River,2020,0.03,0.01,0.05,-9748530.69045206,5110104.230203494,0.22,0.19,0.25,,,,4.0,2,6.0,-0.03,&lt RL,0.07,,,,0,0,0,,,,,,,1,1,2,2,2,2
Albany Avenue,North Branch Chicago River,2020,0.32,0.1,0.51,-9764088.462110575,5156857.124687181,3.93,1.2,11.01,355.0,9.0,1800.0,6.0,1,14.0,0.09,&lt RL,0.2,173.0,104,683.0,1,0,1,596.0,402.0,972.0,49.0,31,74.0,14,2,31,5,2,7
Archer Avenue,Bubbly Creek,2020,0.61,0.29,1.31,-9758696.948071493,5136817.240627698,3.89,1.53,7.53,50.0,9.0,71000.0,26.0,1,72.0,0.29,0.08,0.53,93.0,61,370.0,1,1,2,466.0,280.0,838.0,42.0,28,53.0,14,7,38,4,3,8
Arlington Dr.,West Branch DuPage River,2020,2.05,0.83,3.33,-9811547.219382191,5157233.888994125,13.5,5.24,18.44,810.0,80.0,17000.0,11.0,1,27.0,0.26,0.1,0.45,127.0,87,352.0,1,1,2,578.0,292.0,952.0,59.0,26,76.0,29,7,74,7,4,10
Ashland Avenue,Little Calumet River,2020,0.95,0.27,2.74,-9758345.734333793,5108959.791525536,4.26,0.96,8.77,860.0,210.0,14000.0,8.0,3,16.0,0.17,0.07,0.28,147.0,80,413.0,1,0,1,961.0,414.0,1716.0,299.0,48,765.0,26,9,90,6,3,8
Belmont Avenue,Des Plaines River,2020,0.27,0.02,0.53,-9779371.53102385,5151588.097147647,4.64,1.91,10.45,305.0,50.0,13000.0,5.0,0,9.0,0.11,0.04,0.21,138.0,81,264.0,1,&lt RL,1,520.0,284.0,782.0,49.0,25,71.0,17,2,56,6,3,7
Brookfield Avenue,Salt Creek,2020,1.07,0.19,2.12,-9778479.118246686,5134478.740255858,6.63,2.8,11.19,750.0,430.0,17000.0,4.0,1,11.0,0.1,0.04,0.23,162.0,97,492.0,1,0,1,642.0,328.0,1186.0,69.0,45,98.0,12,3,33,6,3,9
Burnham Avenue,Grand Calumet River,2020,0.26,0.13,0.51,-9744810.951107476,5105915.20396417,3.82,3.23,5.22,440.0,40.0,5000.0,6.0,2,12.0,0.2,0.07,0.52,87.0,68,128.0,1,0,1,477.0,376.0,716.0,86.0,73,99.0,7,2,11,4,3,7
Cicero Avenue,Chicago Sanitary and Ship Canal,2020,0.61,0.28,1.19,-9767527.508297496,5134013.305608013,4.07,1.51,7.67,60.0,9.0,15000.0,6.0,2,24.0,0.29,0.12,0.55,84.0,44,378.0,1,0,1,444.0,252.0,844.0,40.0,26,54.0,10,5,41,4,3,6
Cicero Avenue,Calumet-Sag Channel,2020,1.18,0.41,2.5,-9766975.298081215,5109491.834437173,3.79,2.5,5.14,460.0,20.0,3500.0,9.0,2,27.0,0.2,0.01,0.28,115.0,86,325.0,1,0,3,557.0,444.0,816.0,89.0,60,145.0,12,6,21,5,3,6
Dempster St.,North Shore Channel,2020,0.17,0.04,0.61,-9763803.49250606,5167131.2098396,0.9,0.21,3.4,55.0,10.0,760.0,16.0,0,50.0,0.07,0.02,0.15,50.0,15,445.0,0,&lt RL,1,328.0,126.0,1024.0,41.0,24,82.0,8,6,14,3,2,5
Devon Avenue,Salt Creek,2020,1.73,0.34,4.31,-9795587.075606022,5159923.790866642,9.36,2.52,17.79,880.0,40.0,3500.0,9.0,2,24.0,0.17,0.03,0.6,151.0,109,524.0,1,1,2,653.0,458.0,1218.0,59.0,40,80.0,9,4,20,6,3,8
